Time,R,G,G/R,dG/R,dG/R
ms,AFU,AFU,%,%,%
LineScan-02052019-1234-2683,,,,,filtered
0,1886.667,2007.667,106.413,0.347,,
4.567,1782,1842.167,103.376,-2.69,,
9.134,1712.833,1826.333,106.626,0.56,,
13.701,1809,1795.333,99.245,-6.822,,
18.269,1838.5,1714.667,93.264,-12.802,,
22.836,1611,1663.333,103.248,-2.818,,
27.403,1618.333,1863.167,115.129,9.062,,
31.97,1753.5,1891.333,107.86,1.794,,
36.537,1549.167,1979,127.746,21.679,,
41.104,1809.333,1807.5,99.899,-6.168,,
45.671,1687.5,1910.167,113.195,7.128,,
50.239,1777.333,1881.167,105.842,-0.225,,
54.806,1728.5,1780.5,103.008,-3.058,,
59.373,1774.667,1594,89.82,-16.247,,
63.94,1721.833,1799.667,104.52,-1.546,,
68.507,1740.167,2006.667,115.315,9.248,,
73.074,1714.333,1739.5,101.468,-4.599,,
77.642,1695,1650.833,97.394,-8.672,,
82.209,1687.167,1886.833,111.834,5.768,,
86.776,1687.667,1545.167,91.556,-14.51,,
91.343,1652.833,1909.833,115.549,9.482,,
95.91,1694,1926.5,113.725,7.658,,
100.477,1766.667,1860.833,105.33,-0.736,,
105.044,1684.833,1747,103.69,-2.377,,
109.612,1754.333,1724.833,98.318,-7.748,,
114.179,1498.667,1690.333,112.789,6.723,,
118.746,1634.667,1757,107.484,1.417,,
123.313,1652.667,1796,108.673,2.606,,
127.88,1697.5,1661.667,97.889,-8.178,,
132.447,1541.333,1698,110.164,4.098,,
137.014,1756.667,1708.167,97.239,-8.828,,
141.582,1804.333,1597.167,88.518,-17.548,,
146.149,1686.667,1680.5,99.634,-6.432,,
150.716,1664,1733.167,104.157,-1.91,,
155.283,1788.5,1850.167,103.448,-2.619,,
159.85,1793.167,1951.167,108.811,2.745,,
164.417,1694.667,1563.833,92.28,-13.787,,
168.984,1706,1696.667,99.453,-6.614,,
173.552,1733.5,1787.333,103.105,-2.961,,
178.119,1596,1671.833,104.751,-1.315,,
182.686,1644,1570.833,95.549,-10.517,,
187.253,1598.833,2047.5,128.062,21.996,4.835,
191.82,1579.667,1904.333,120.553,14.486,2.399,
196.387,1692.667,1731,102.265,-3.802,0.731,
200.955,1606.333,1953,121.581,15.515,1.024,
205.522,1538.667,1826,118.674,12.608,-0.816,
210.089,1774.833,1755.333,98.901,-7.165,-2.318,
214.656,1673.333,1650.5,98.635,-7.431,-1.622,
219.223,1716.333,1826.833,106.438,0.372,-0.872,
223.79,1553.333,1755,112.983,6.916,-0.951,
228.357,1729.667,1641.5,94.903,-11.164,-1.708,
232.925,1536.5,1713.667,111.531,5.464,-0.449,
237.492,1756.5,1683.167,95.825,-10.242,-0.974,
242.059,1639,1667,101.708,-4.358,0.25,
246.626,1685,1763.833,104.679,-1.388,0.847,
251.193,1696,1689.333,99.607,-6.46,1.13,
255.76,1643.667,1936.333,117.806,11.739,1.972,
260.327,1665.833,1805.5,108.384,2.318,0.837,
264.895,1558.5,1711.167,109.796,3.729,0.765,
269.462,1585,1631.167,102.913,-3.154,0.581,
274.029,1567.167,1728.333,110.284,4.217,1.192,
278.596,1672.167,1731.5,103.548,-2.518,1.034,
283.163,1702.667,1616.667,94.949,-11.118,1.648,
287.73,1687,1866.333,110.63,4.564,3.209,
292.297,1637.667,1750.167,106.87,0.803,3.042,
296.865,1677.167,1753.333,104.541,-1.525,3.267,
301.432,1565.833,1690,107.93,1.863,3.712,
305.999,1586.167,1851.333,116.717,10.651,3.74,
310.566,1548.667,1790.667,115.626,9.56,2.765,
315.133,1676.5,1689,100.746,-5.321,1.881,
319.7,1562,1767.333,113.146,7.079,2.595,
324.267,1574,1698,107.878,1.811,1.918,
328.835,1571.5,1888,120.14,14.073,1.788,
333.402,1636.167,1634.833,99.919,-6.148,0.305,
337.969,1501.5,1623.167,108.103,2.036,1.028,
342.536,1608.667,1875.833,116.608,10.541,0.844,
347.103,1698.5,1673.167,98.508,-7.558,-0.271,
351.67,1609.667,1722.333,106.999,0.933,0.595,
356.238,1670.5,1875.667,112.282,6.215,0.521,
