Time, G, dG, f(dG), 
ms, AFU, AFU, AFU, 
LineScan-02132019-1317-2778, , , filtered, 
0, 1080.731, 27.725, , 
5.039, 1033.769, -19.236, , 
10.078, 1048.269, -4.736, , 
15.116, 1066.231, 13.225, , 
20.155, 1036.308, -16.698, , 
25.194, 1056.385, 3.379, , 
30.233, 1072.038, 19.033, , 
35.271, 1083.923, 30.918, , 
40.31, 1051.038, -1.967, , 
45.349, 1051.885, -1.121, , 
50.388, 1057.808, 4.802, , 
55.427, 1041.154, -11.852, , 
60.465, 1031.654, -21.352, , 
65.504, 1036.538, -16.467, , 
70.543, 1074.885, 21.879, , 
75.582, 1032.038, -20.967, , 
80.621, 1062.192, 9.187, , 
85.659, 1089.192, 36.187, , 
90.698, 1093.692, 40.687, , 
95.737, 1064.923, 11.918, , 
100.776, 1049.269, -3.736, , 
105.814, 1090.5, 37.495, , 
110.853, 1066.115, 13.11, , 
115.892, 1061.077, 8.071, , 
120.931, 1093.231, 40.225, , 
125.97, 1056.038, 3.033, , 
131.008, 1077.731, 24.725, , 
136.047, 1086.038, 33.033, , 
141.086, 1065.269, 12.264, , 
146.125, 1058.923, 5.918, , 
151.164, 1068.269, 15.264, , 
156.202, 1094.5, 41.495, , 
161.241, 1047.269, -5.736, , 
166.28, 1025.231, -27.775, , 
171.319, 1060.346, 7.341, , 
176.357, 1031.385, -21.621, , 
181.396, 1071.538, 18.533, , 
186.435, 1050.423, -2.582, , 
191.474, 1029.808, -23.198, -3.201, 
196.513, 1043, -10.005, -2.327, 
201.551, 1065.346, 12.341, -3.916, 
206.59, 1068.731, 15.725, -5.715, 
211.629, 1052.462, -0.544, -5.42, 
216.668, 1043.615, -9.39, -3.888, 
221.707, 999.808, -53.198, 2.813, 
226.745, 1041.038, -11.967, 4.803, 
231.784, 1046.115, -6.89, 6.195, 
236.823, 1067.077, 14.071, 5.154, 
241.862, 1051.731, -1.275, 5.852, 
246.9, 1083.577, 30.571, 2.883, 
251.939, 1020.577, -32.429, 7.127, 
256.978, 1060.692, 7.687, 6.671, 
262.017, 1090.692, 37.687, 2.713, 
