Time, R, G, dG, f(dG), G/R, dG/R, f(dG/R), 
ms, AFU, AFU, AFU, AFU, %, %, AFU, 
LineScan-08092022-1225-528, , , , filtered, , , filtered, 
0, 5200.25, 2020.5, -83.802, , 38.854, -2.231, , 
8.552, 5435.75, 2358.25, 253.948, , 43.384, 2.299, , 
17.104, 5379.5, 2034.5, -69.802, , 37.819, -3.265, , 
25.656, 5505.75, 2118, 13.698, , 38.469, -2.616, , 
34.208, 5306.25, 1873.5, -230.802, , 35.307, -5.777, , 
42.76, 5577, 2237.75, 133.448, , 40.125, -0.96, , 
51.312, 5346.25, 2345, 240.698, , 43.863, 2.778, , 
59.864, 5543.5, 2242.5, 138.198, , 40.453, -0.632, , 
68.416, 4985.25, 2319.25, 214.948, , 46.522, 5.437, , 
76.968, 5216.5, 2208.75, 104.448, , 42.342, 1.257, , 
85.52, 5113.75, 2002, -102.302, , 39.149, -1.935, , 
94.072, 4952.75, 2568.75, 464.448, , 51.865, 10.78, , 
102.624, 5183.25, 2335, 230.698, , 45.049, 3.964, , 
111.176, 5114.5, 2127.75, 23.448, , 41.602, 0.518, , 
119.728, 5307.25, 2349.5, 245.198, , 44.27, 3.185, , 
128.28, 4961.25, 2011.5, -92.802, , 40.544, -0.541, , 
136.832, 5549, 1907.5, -196.802, , 34.376, -6.709, , 
145.384, 5243.25, 2079, -25.302, , 39.651, -1.434, , 
153.936, 5504, 1948, -156.302, , 35.392, -5.692, , 
162.488, 5462, 1881.25, -223.052, , 34.443, -6.642, , 
171.04, 5304.75, 2067.75, -36.552, , 38.979, -2.106, , 
179.592, 5247.25, 1994.25, -110.052, , 38.006, -3.079, , 
188.144, 5157, 1596.75, -507.552, -2.255, 30.963, -10.122, -0.259, 
196.696, 5355, 2094.25, -10.052, -16.7, 39.108, -1.976, -0.215, 
205.248, 5024.25, 2368.75, 264.448, -88.853, 47.146, 6.062, -1.84, 
213.8, 5209.5, 2002.5, -101.802, -91.713, 38.439, -2.645, -1.835, 
222.352, 4921.5, 1887, -217.302, -73.747, 38.342, -2.743, -1.862, 
230.904, 5230, 2624.25, 519.948, -195.006, 50.177, 9.092, -4.121, 
239.456, 5212.5, 1693.75, -410.552, -127.992, 32.494, -8.591, -2.81, 
248.008, 4948.5, 1755.25, -349.052, -68.554, 35.47, -5.614, -1.98, 
